,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
90092,1OPoUUFSLgXXsFcjP1SRIS,The Drifters,Perfect Christmas Hits,White Christmas,0,158533,False,0.578,0.182,-10.424,0.0444,0.825,5e-06,0.144,0.477,127.363,4,rock-n-roll
92146,1qtOncyVGwrltAsTWFuW6m,The Drifters,Holly Jolly Christmas,White Christmas,0,158533,False,0.578,0.182,-10.424,0.0444,0.825,5e-06,0.144,0.477,127.363,4,rockabilly
103792,3SqWXTR40ETna3e4EHYTHq,The Drifters,Christmas Music - Holiday Hits,White Christmas,0,158533,False,0.578,0.182,-10.424,0.0444,0.825,5e-06,0.144,0.477,127.363,4,soul
19259,7GFvNSVGH1rwZ022nmehm7,Kacey Musgraves;Lana Del Rey,Alternative Christmas 2022,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0,132108,False,0.469,0.183,-15.414,0.0407,0.829,0.0,0.71,0.381,139.592,4,country
19211,07KkcT3p4w8TzIPm1UpC0e,Kacey Musgraves;Lana Del Rey,Holiday Tunes 2022,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0,132108,False,0.469,0.183,-15.414,0.0407,0.829,0.0,0.71,0.381,139.592,4,country
19028,7M9ZOPynXtdsAYhDCeeYnN,Zach Bryan,Single Saturday Night - Country Songs,Something in the Orange,0,228013,False,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
64379,1xk2BZet7lBVxc8tFwj9QZ,Dean Martin,Santa Claus Is Coming To Town,"Baby, It's Cold Outside",0,143733,False,0.439,0.196,-16.093,0.0601,0.88,0.0,0.0513,0.525,129.581,4,jazz
64402,7J3pqJ4DlGcm1aGku5Qj4G,Dean Martin,Christmas 2022,"Baby, It's Cold Outside",0,143733,False,0.439,0.196,-16.093,0.0601,0.88,0.0,0.0513,0.525,129.581,4,jazz
7036,1PsqGUXy4eFdOKOmafn2ea,The Avett Brothers,Chill Christmas Dinner,Winter In My Heart,0,294960,False,0.409,0.198,-10.832,0.0293,0.751,0.000712,0.082,0.14,132.782,4,bluegrass
34543,6vXQ12lw0BOY8ZAwT80wJy,The Avett Brothers,sadsadchristmas,Winter In My Heart,0,294960,False,0.409,0.198,-10.832,0.0293,0.751,0.000712,0.082,0.14,132.782,4,folk
87196,6rmTI4qrd6b2iJddcCJy3A,The Avett Brothers,Christmas Vibes But Not Christmas Songs,Winter In My Heart,0,294960,False,0.409,0.198,-10.832,0.0293,0.751,0.000712,0.082,0.14,132.782,4,r-n-b
64477,0nPF9ui556Ptd0ZNstQerM,Dean Martin,pov: you saw mommy kissing santa claus,Rudolph The Red-Nosed Reindeer,0,135760,False,0.478,0.201,-16.79,0.0332,0.919,0.0,0.0854,0.857,136.47,4,jazz
62091,1QSituq8TP7S5aJvdzwYcP,Norah Jones,Christmas Vibes But Not Christmas Songs,Wintertime,0,228234,False,0.525,0.205,-12.519,0.0457,0.84,0.0213,0.114,0.207,183.468,4,j-pop
64090,1QSituq8TP7S5aJvdzwYcP,Norah Jones,Christmas Vibes But Not Christmas Songs,Wintertime,0,228234,False,0.525,0.205,-12.519,0.0457,0.84,0.0213,0.114,0.207,183.468,4,jazz
64356,2QnNRiKhVhXfkVRnHCqO3B,Nat King Cole,All I want For Christmas Is Music,The Christmas Song (Merry Christmas To You),0,192160,False,0.32,0.21,-15.231,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,jazz
64323,3FRPqVwG14wKc0fAb8Nj3O,Nat King Cole,Home For Christmas 2022,The Christmas Song (Merry Christmas To You),0,192160,False,0.32,0.21,-15.231,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,jazz
64424,3llXamv8O331e5CAjNTu5f,Dean Martin,GOD JUL,"Let It Snow, Let It Snow, Let It Snow - Remastered",0,121026,False,0.446,0.214,-15.215,0.0326,0.885,1.46e-06,0.052,0.741,133.436,4,jazz
64268,5xGSLYFTmGKmFXN1pYm9q6,Nat King Cole,Christmas Best Hits 2022,O Tannenbaum - Remastered 1999,0,180200,False,0.25,0.228,-14.186,0.0364,0.811,0.000166,0.199,0.198,90.001,4,jazz
64301,4Chn8Dhk82kTF9kyb0yYCV,Nat King Cole,Weihnachten Playlist,O Tannenbaum - Remastered 1999,0,180200,False,0.25,0.228,-14.186,0.0364,0.811,0.000166,0.199,0.198,90.001,4,jazz
19387,5bsyeHw6sQja0n3oUiDfMY,Kenny Rogers,Holly Jolly Christmas,I'll Be Home for Christmas,0,164906,False,0.437,0.229,-10.99,0.0296,0.729,9.06e-05,0.129,0.127,61.786,4,country
107094,1L4VhHYJxfxCfnaPpd9gYI,Frankie Goes To Hollywood,Jingle Bell Rock 2022,The Power Of Love,0,328864,False,0.465,0.23,-13.791,0.0325,0.349,2.85e-06,0.539,0.114,123.102,4,synth-pop
103685,7EhzTxJLeLTlk3MQIEisWD,Olivia Dean,Christmas Dinner 2022,Merry Christmas Everyone - For Nest Audio Sessions,0,154133,False,0.592,0.249,-8.86,0.0402,0.834,0.00125,0.113,0.155,90.521,4,soul
106363,2drsKS2XyPOn7diNNEvenO,LOVA,Weihnachtspop 2022,Happy New Year,0,184828,False,0.625,0.274,-8.593,0.0281,0.834,0.0,0.11,0.081,134.9,4,swedish
8059,0XOoWlEiKzyF5VS4oh3Yb6,Ella Fitzgerald,pov: you are walking in a winter wonderland,Sleigh Ride,0,175986,False,0.593,0.287,-12.472,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues
8011,0uZ14vmYf9O5LirYjN84GL,Ella Fitzgerald,pov: you hear the bells jingle,Sleigh Ride,0,175986,False,0.593,0.287,-12.472,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues
8021,2yQJT5fopKSAdJB2aaLgwr,Ella Fitzgerald,World's Best Christmas Playlist,Sleigh Ride,0,175986,False,0.593,0.287,-12.472,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues
64243,7nSM5Q806uLYcJvWRCIRg2,Ella Fitzgerald,Weihnachtssongs,Sleigh Ride,0,175986,False,0.593,0.287,-12.472,0.0469,0.764,0.0,0.153,0.639,77.117,4,jazz
64199,4FcflXjkAiJ2pV02GyIvsG,Ella Fitzgerald,Best Christmas Music 2022,Sleigh Ride,0,175986,False,0.593,0.287,-12.472,0.0469,0.764,0.0,0.153,0.639,77.117,4,jazz
64239,1IgtHMtJcoGSE5gHqC1diy,Ella Fitzgerald,Weihnachten Playlist,Sleigh Ride,0,175986,False,0.593,0.287,-12.472,0.0469,0.764,0.0,0.153,0.639,77.117,4,jazz
8019,5h2YLD9MLviHF25NNYYi9j,Otis Redding,Christmas Time,Merry Christmas Baby,0,155560,False,0.71,0.291,-14.132,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues
103234,1ygKuPiMlPKKonNecBWlg0,Otis Redding,Holly Jolly Christmas,Merry Christmas Baby,0,155560,False,0.71,0.291,-14.132,0.0338,0.35,0.0,0.128,0.856,101.517,4,soul
91918,2BJpaCGbSfZeC6AEK8Zx8X,Christina Perri,Christmas Time,Merry Christmas Darling,0,200240,False,0.544,0.291,-13.898,0.0274,0.714,0.000288,0.0963,0.168,75.945,4,rock
64669,3VV5d66lAtFIusefvr1ssz,Vince Guaraldi Trio,Happy Christmas Instrumentals,Skating,0,145640,False,0.473,0.297,-17.103,0.0321,0.75,0.535,0.129,0.551,130.342,4,jazz
64429,306AhQP6UPbAZrv9s9R54W,Dean Martin,Weihnachten Musik,"Baby, It's Cold Outside - Remastered 2004",0,143026,False,0.499,0.304,-11.543,0.0632,0.81,0.0,0.0546,0.521,129.321,4,jazz
34886,01ACdIbLskndpj7q5pMfh4,Andrew Bird,Chill Christmas Dinner,Christmas In April,0,211346,False,0.53,0.304,-10.509,0.0342,0.825,0.0182,0.145,0.301,90.495,3,folk
87540,7wBB0QYD0AYbhA0Nyjwxqy,Andrew Bird,Acoustic Christmas Campfire,Christmas In April,0,211346,False,0.53,0.304,-10.509,0.0342,0.825,0.0182,0.145,0.301,90.495,3,r-n-b
28,5QAMZTM5cmLg3fHX9ZbTZi,Jason Mraz,Christmas Time,Winter Wonderland,0,131760,False,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic
8069,2E1sUwtH4AANynciTbL36h,Ella Fitzgerald,JULMUSIK,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,-9.175,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues
8195,2G8eyoZQjaBakG9DFk5NSw,Ella Fitzgerald,Weihnachten Playlist,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,-9.175,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues
64230,3EzO5J4BLoEElQzuAt0jyh,Ella Fitzgerald,Christmas Soul Classics,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,-9.175,0.0428,0.961,0.0,0.258,0.64,119.935,4,jazz
64233,2G8eyoZQjaBakG9DFk5NSw,Ella Fitzgerald,Weihnachten Playlist,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,-9.175,0.0428,0.961,0.0,0.258,0.64,119.935,4,jazz
91833,63m4kjPpyOlrprRJXSZjPC,Annie Lennox,Christmas Songs 2022,Angels From The Realms of Glory,0,240146,False,0.523,0.322,-8.957,0.0285,0.535,0.0,0.132,0.3,126.002,4,rock
99196,21excOPd45gzWN8zCt8Vhw,Annie Lennox,Christmas Best Hits 2022,Angels From The Realms of Glory,0,240146,False,0.523,0.322,-8.957,0.0285,0.535,0.0,0.132,0.3,126.002,4,singer-songwriter
102199,6X16lGke7rTFXp8nlABGS1,Annie Lennox,Weihnachtslieder 2022,Angels From The Realms of Glory,0,240146,False,0.523,0.322,-8.957,0.0285,0.535,0.0,0.132,0.3,126.002,4,songwriter
64382,19UYv6UJvgjw2kPXcno6N9,Dean Martin,Santa Claus Is Coming To Town,Let It Snow! Let It Snow! Let It Snow!,0,115240,False,0.484,0.332,-10.312,0.037,0.787,0.0,0.373,0.683,134.999,4,jazz
64467,2XSYVfnio65LuIcWXG6aiq,Dean Martin,All I want For Christmas Is Music,Let It Snow! Let It Snow! Let It Snow!,0,115240,False,0.484,0.332,-10.312,0.037,0.787,0.0,0.373,0.683,134.999,4,jazz
64483,1qG5YcviyX2U4vQti2QDQH,Dean Martin,pov: you rock around the christmas tree,Let It Snow! Let It Snow! Let It Snow!,0,115240,False,0.484,0.332,-10.312,0.037,0.787,0.0,0.373,0.683,134.999,4,jazz
19421,0Gqt7TMY8pI89qfHTKLNrZ,Faith Hill,JULPYNTA,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",0,247040,False,0.373,0.333,-9.876,0.0303,0.59,0.0,0.121,0.0815,110.241,4,country
64297,264PIvfCX9wSiYs7wOk3aY,Nat King Cole,Xmas Classics 2022,Joy To The World - Remastered 1999,0,84986,False,0.553,0.337,-10.334,0.0303,0.818,0.0,0.113,0.664,102.213,4,jazz
64296,6QUrYDqnSpdEuTIsdv0BiR,Nat King Cole,Santa Claus Is Coming To Town,Joy To The World - Remastered 1999,0,84986,False,0.553,0.337,-10.334,0.0303,0.818,0.0,0.113,0.664,102.213,4,jazz
37288,6YX6ZHbeGnt3wqhcas8YOx,The Temptations,Best Christmas Playlist Ever 2022,Silent Night,0,144480,False,0.277,0.344,-11.713,0.0264,0.215,8.6e-06,0.185,0.241,89.643,3,funk
103277,0ybDYDwTq51aP5pSTtbep1,The Temptations,JULMYS,Silent Night,0,144480,False,0.277,0.344,-11.713,0.0264,0.215,8.6e-06,0.185,0.241,89.643,3,soul
34846,0b9fULR24FUxNnT4co5GWA,The Pogues;Kirsty MacColl,Christmas Time,Fairytale of New York (Edit) - Radio Edit,0,275896,False,0.38,0.346,-14.313,0.0417,0.648,0.000139,0.0511,0.358,117.916,3,folk
86298,4I2O6pV4gNBw6iteh0UPU0,The Pogues;Kirsty MacColl,Merry Christmas,Fairytale of New York (Edit) - Radio Edit,0,275896,False,0.38,0.346,-14.313,0.0417,0.648,0.000139,0.0511,0.358,117.916,3,punk
85245,2wZxzBlwt89epiawMTmDfM,The Pogues;Kirsty MacColl,Perfect Christmas Hits,Fairytale of New York (Edit) - Radio Edit,0,275896,False,0.38,0.346,-14.313,0.0417,0.648,0.000139,0.0511,0.358,117.916,3,punk-rock
64024,2iYOGj0lCH9yWOlVNmh4Xu,Norah Jones,Christmas 2022,Christmas Don't Be Late,0,160293,False,0.464,0.356,-6.953,0.03,0.708,7.76e-05,0.108,0.265,66.377,4,jazz
62049,2YJ7Y1oJO1O9w4qnxoJWmK,Norah Jones,Santa Claus Is Coming To Town,Christmas Don't Be Late,0,160293,False,0.497,0.374,-6.941,0.028,0.751,5.82e-05,0.118,0.235,66.785,4,j-pop
64099,1WmrZqiaAztoRBpE2WfmYL,Norah Jones,pov: you have a holly jolly christmas,Christmas Don't Be Late,0,160293,False,0.497,0.374,-6.941,0.028,0.751,5.82e-05,0.118,0.235,66.785,4,jazz
37108,2UHoZE4P1shj40Z3aQLi3I,Stevie Wonder,Christmas 2022,One Little Christmas Tree,0,161693,False,0.406,0.377,-11.717,0.0597,0.764,0.0,0.272,0.717,92.23,4,funk
37133,5a3MuZQW1GMuLWBg7nwBkU,Stevie Wonder,All I Want For Christmas Is You,One Little Christmas Tree,0,161693,False,0.406,0.377,-11.717,0.0597,0.764,0.0,0.272,0.717,92.23,4,funk
57230,3Onhy5g3mo0laU0Ny1PycZ,Stevie Wonder,Christmas Dinner 2022,One Little Christmas Tree,0,161693,False,0.406,0.377,-11.717,0.0597,0.764,0.0,0.272,0.717,92.23,4,indie
103127,3Onhy5g3mo0laU0Ny1PycZ,Stevie Wonder,Christmas Dinner 2022,One Little Christmas Tree,0,161693,False,0.406,0.377,-11.717,0.0597,0.764,0.0,0.272,0.717,92.23,4,soul
64324,2FsD3W3i69WGlexZPHlCT9,Nat King Cole;John Legend,Beste Weihnachtslieder,The Christmas Song (Chestnuts Roasting On An Open Fire),0,210026,False,0.226,0.382,-9.243,0.0288,0.845,0.0,0.111,0.165,81.943,4,jazz
64270,0bXeqAJeMZ8U0WTYj0ieNI,Nat King Cole;John Legend,All I Want For Christmas Is You,The Christmas Song (Chestnuts Roasting On An Open Fire),0,210026,False,0.226,0.382,-9.243,0.0288,0.845,0.0,0.111,0.165,81.943,4,jazz
31795,6YjErXVPAkQuqmBsHRWUxY,Kylie Minogue,Holly Jolly Christmas,Santa Baby,0,202546,False,0.685,0.391,-7.183,0.0435,0.744,0.0,0.142,0.443,87.101,4,electro
64260,0LhVLUtEjDyku1hAM8EkO7,Nat King Cole,pov: you hear the bells jingle,Deck The Halls,0,69000,False,0.635,0.393,-10.889,0.0394,0.652,0.0,0.0845,0.97,107.172,4,jazz
64330,64h9fBMUO8YmwW3cfWAI4Q,Nat King Cole,Beste Weihnachtslieder,Deck The Halls,0,69000,False,0.635,0.393,-10.889,0.0394,0.652,0.0,0.0845,0.97,107.172,4,jazz
19728,5l3azn9twG7ayHoH0qAFGF,Tyler Braden,Burn Burn Burn - Hot Country Hits,Try Losing One,0,219640,False,0.455,0.4,-7.749,0.0293,0.546,0.0,0.0971,0.103,139.828,4,country
92061,2urRTL3v5O8BBr8HWSSPos,Brenda Lee,Christmas Playlist 2022,A Marshmallow World,0,152160,False,0.73,0.406,-10.209,0.0306,0.444,0.0,0.304,0.895,121.097,4,rockabilly
51583,0Nb0A0yuiYHiVyMyZm0Wh8,Kodak Black,The Hip Hop Collection,Super Gremlin,0,200547,True,0.825,0.414,-6.634,0.144,0.00265,0.0,0.357,0.106,72.993,4,hip-hop
15047,3w1IGy0M8UmWfydMoD1RgE,Pink Sweat$,Coffee Chill,At My Worst,0,170344,False,0.813,0.415,-5.926,0.0349,0.777,0.0,0.131,0.667,91.921,4,chill
103167,384txiSqJA9XFLWWLRBhO7,Pink Sweat$,Evergreen,At My Worst,0,170344,False,0.813,0.415,-5.926,0.0349,0.777,0.0,0.131,0.667,91.921,4,soul
8590,089Kk8RlBojIz9H4qc0eUQ,Blind Faith,Biomutant Martial Combat The Ultimate Fantasy Playlist,Battle of Evermore,0,247866,False,0.534,0.416,-13.251,0.0309,0.572,1.87e-05,0.376,0.374,145.092,4,blues
11441,089Kk8RlBojIz9H4qc0eUQ,Blind Faith,Biomutant Martial Combat The Ultimate Fantasy Playlist,Battle of Evermore,0,247866,False,0.534,0.416,-13.251,0.0309,0.572,1.87e-05,0.376,0.374,145.092,4,british
51332,10l9RI8IHp1Z7b7dM3tMSv,Gunna;Future;Young Thug,Gaming Songs 2022: Hard Mode,Pushin P,0,136266,True,0.773,0.422,-4.572,0.187,0.00783,0.00693,0.129,0.488,77.502,1,hip-hop
87687,7isAr2kWfTN2y1IiP0ndEJ,Cliff Richard,Christmas Time,Mistletoe and Wine,0,245333,False,0.498,0.432,-14.386,0.0345,0.688,0.0,0.136,0.365,135.015,3,r-n-b
90188,1zhiY8SQbBksuS1O9WDfp2,Cliff Richard,Holly Jolly Christmas,Mistletoe and Wine,0,245333,False,0.498,0.432,-14.386,0.0345,0.688,0.0,0.136,0.365,135.015,3,rock-n-roll
14282,5BZdsf4rMjK0NkcTKx6dIP,Alvin & The Chipmunks;David Seville,12 Days of Christmas 2022,The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,0,141026,False,0.609,0.434,-9.478,0.0353,0.711,1.17e-06,0.148,0.777,152.166,3,children
103948,2WzOpYJhgIjcO7ASiJT8Xw,Percy Sledge,Holly Jolly Christmas,Christmas Wish - 2000 Remaster,0,160226,False,0.58,0.434,-11.04,0.0293,0.833,0.00162,0.135,0.399,78.612,4,soul
99784,4e3QW45iOnnFUb8DjjXhE3,Madeline The Person,I'm Blue - Hits of 2022,MEAN!,0,143957,False,0.56,0.436,-8.761,0.491,0.918,0.0,0.093,0.402,117.907,4,singer-songwriter
102786,4e3QW45iOnnFUb8DjjXhE3,Madeline The Person,I'm Blue - Hits of 2022,MEAN!,0,143957,False,0.56,0.436,-8.761,0.491,0.918,0.0,0.093,0.402,117.907,4,songwriter
64367,1oh2tEnDufWrUSawyywVbI,Nat King Cole,pov: you bake cookies,Deck The Halls - Remastered 1999,0,68760,False,0.684,0.437,-10.522,0.0491,0.742,1.63e-05,0.224,0.964,107.607,4,jazz
62232,0F5GuukYSgfX6ALuyrCgMH,Jamie Cullum,Holidays Are Coming,It's Christmas,0,194706,False,0.598,0.447,-7.932,0.0404,0.224,0.0,0.0704,0.365,123.855,4,j-pop
64582,0HUQDPIFCHff0OQI2ZB9Bc,Jamie Cullum,Weihnachten Musik,It's Christmas,0,194706,False,0.598,0.447,-7.932,0.0404,0.224,0.0,0.0704,0.365,123.855,4,jazz
37065,2wGd1xVvI38RqbzhlzswFC,Stevie Wonder,Rockin' Around The Christmas Tree 2022,The Little Drummer Boy,0,185453,False,0.523,0.448,-13.53,0.0593,0.442,0.0,0.111,0.351,134.511,4,funk
57267,4YZFBZr3x5kEWRhKDU6WYz,Stevie Wonder,Classic Christmas 2022,The Little Drummer Boy,0,185453,False,0.523,0.448,-13.53,0.0593,0.442,0.0,0.111,0.351,134.511,4,indie
103106,4YZFBZr3x5kEWRhKDU6WYz,Stevie Wonder,Classic Christmas 2022,The Little Drummer Boy,0,185453,False,0.523,0.448,-13.53,0.0593,0.442,0.0,0.111,0.351,134.511,4,soul
64642,5Ztw19POZVio1lQE27ZLVO,Peggy Lee,Xmas Classics 2022,I Like A Sleighride (Jingle Bells),0,125613,False,0.758,0.451,-8.001,0.0375,0.75,0.0,0.0503,0.737,122.912,4,jazz
103838,24YfxS060aKze1c2LosTxG,Peggy Lee,Classic Christmas 2022,I Like A Sleighride (Jingle Bells),0,125613,False,0.758,0.451,-8.001,0.0375,0.75,0.0,0.0503,0.737,122.912,4,soul
8040,68zhLiVF3gEKnmgtfCCsen,Otis Redding,World's Best Christmas Playlist,"Merry Christmas, Baby [take 1] - Take 1",0,152933,False,0.746,0.458,-8.844,0.0312,0.0631,0.0,0.167,0.942,100.429,4,blues
103243,5HfjKD2GdTKylx57dSemch,Otis Redding,All I want For Christmas Is Music,"Merry Christmas, Baby [take 1] - Take 1",0,152933,False,0.746,0.458,-8.844,0.0312,0.0631,0.0,0.167,0.942,100.429,4,soul
84026,6gRNHsOFHyfAq5OJkzDT7M,The Beach Boys,pov: you have a holly jolly christmas,Frosty The Snowman - 1991 Remix,0,114551,False,0.426,0.473,-7.924,0.0335,0.353,0.0,0.0234,0.937,181.752,4,psych-rock
91565,5J5IcNcokBBSrn5k7hqaot,The Beach Boys,Best Christmas Music 2022,Frosty The Snowman - 1991 Remix,0,114551,False,0.426,0.473,-7.924,0.0335,0.353,0.0,0.0234,0.937,181.752,4,rock
94347,296fgp3QY6KNmEDScgcmOA,Fresco Trey;Einer Bankz,Her - All Rap,Enjoy It,0,127346,True,0.731,0.479,-6.438,0.0464,0.242,0.0,0.143,0.755,97.997,4,sad
20523,0XLZqnVwuqsvl0WbZRStel,Burna Boy;Ed Sheeran,Hit After Hit,For My Hand,0,159123,False,0.87,0.479,-7.779,0.165,0.161,0.000157,0.209,0.717,104.059,4,dance
21011,0YtYAaCp626cLIDyjB5bcS,Burna Boy;Ed Sheeran,New Arrivals,For My Hand,0,159123,False,0.87,0.479,-7.779,0.165,0.161,0.000157,0.209,0.717,104.059,4,dancehall
51871,13VcHnE3q5TRU5ig2FcbOP,Burna Boy;Ed Sheeran,"#Multiverse, If the Multiverse Is Real",For My Hand,0,159123,False,0.87,0.479,-7.779,0.165,0.161,0.000157,0.209,0.717,104.059,4,hip-hop
19980,167w1B4J7ntKYx7OlZNsI4,Avery Anna,Hideaway - New Boots,Narcissist,0,154026,False,0.322,0.48,-5.989,0.0492,0.746,0.0,0.113,0.304,73.476,4,country
